,id,gender,age,education,start_field,end_field
204,204,NS,51,Bachelor,Science,Science
205,205,F,48,Bachelor,Science,Science
206,206,F,24,Master,Education,Education
207,207,F,27,Master,Science,Science
208,208,F,34,Master,Engineering,IT
209,209,M,49,PhD,Science,Science
210,210,M,34,PhD,Science,Science
211,211,M,29,Master,IT,IT
212,212,F,44,PhD,IT,IT
213,213,F,40,Master,Engineering,Engineering
214,214,M,30,Bachelor,Education,Education
215,215,F,29,PhD,IT,IT
216,216,F,26,Master,Science,Science
217,217,F,67,Master,IT,IT
218,218,F,28,Master,Engineering,IT
219,219,F,37,Master,IT,IT
220,220,F,28,Bachelor,Science,IT
221,221,F,28,Master,Media,Media
222,222,F,32,Master,IT,IT
223,223,F,43,HighSchool,Science,IT
224,224,M,32,PhD,Science,Science
225,225,F,26,PhD,Business,IT
226,226,F,55,Master,Science,Science
227,227,F,38,PhD,IT,IT
228,228,M,32,Master,Science,Science
229,229,F,47,HighSchool,Management,Management
230,230,F,40,Bachelor,Science,Science
231,231,M,44,Bachelor,IT,IT
232,232,F,20,PhD,Hospitality,Hospitality
233,233,F,34,HighSchool,Engineering,IT
234,234,M,32,Bachelor,IT,IT
235,235,M,30,HighSchool,Law,Law
236,236,F,39,Bachelor,Science,Science
237,237,F,48,PhD,Law,Law
238,238,F,39,PhD,Education,IT
239,239,F,27,PhD,IT,IT
240,240,F,38,Bachelor,Business,Business
241,241,F,42,Master,IT,IT
242,242,M,45,PhD,Education,Education
243,243,nonbinary,30,PhD,IT,IT
244,244,F,30,Bachelor,Science,IT
245,245,F,32,Master,Science,Science
246,246,F,50,Bachelor,Health,Health
247,247,M,38,Master,Education,Education
248,248,F,30,Bachelor,Business,Business
249,249,F,30,HighSchool,IT,IT
250,250,F,34,PhD,Media,Media
251,251,F,37,Bachelor,Science,Science
252,252,F,50,HighSchool,Administration,Administration
253,253,F,30,Master,Media,Media
254,254,M,60,PhD,Business,Business
255,255,F,60,PhD,Engineering,IT
256,256,F,41,Master,Business,Business
257,257,F,23,PhD,IT,IT
258,258,F,30,Bachelor,IT,IT
259,259,F,43,PhD,Education,Education
260,260,F,35,Bachelor,Science,Science
261,261,M,30,PhD,IT,IT
262,262,M,23,Bachelor,Hospitality,Hospitality
263,263,F,69,Bachelor,Engineering,IT
264,264,nonbinary,31,Master,Hospitality,Hospitality
265,265,F,76,Master,IT,IT
266,266,F,26,PhD,IT,IT
267,267,F,34,Master,Engineering,Engineering
268,268,F,21,PhD,Science,Science
269,269,F,34,Master,IT,IT
270,270,M,45,PhD,Management,Management
271,271,F,21,Bachelor,Administration,Administration
272,272,F,35,Master,Engineering,IT
273,273,M,22,PhD,Media,Media
274,274,F,30,PhD,Education,Education
275,275,F,39,Master,Business,IT
276,276,F,79,PhD,IT,IT
277,277,F,29,Master,Science,Science
278,278,F,40,Bachelor,IT,IT
279,279,F,31,HighSchool,IT,IT
280,280,M,40,Bachelor,Business,Business
281,281,F,34,Master,IT,IT
282,282,F,21,Master,IT,IT
283,283,F,58,PhD,Business,Business
284,284,M,39,Master,Farming,Farming
285,285,M,21,Master,Science,Science
286,286,F,35,PhD,Engineering,Engineering
287,287,F,77,Bachelor,Health,Health
288,288,M,38,Master,IT,IT
289,289,nonbinary,41,Master,Business,Business
290,290,M,39,PhD,IT,IT
291,291,F,39,PhD,Hospitality,IT
292,292,F,49,PhD,Engineering,Engineering
293,293,F,41,Bachelor,Education,Education
294,294,F,27,PhD,IT,IT
295,295,F,42,PhD,Science,IT
296,296,F,39,Master,Business,Business
297,297,F,44,PhD,IT,IT
298,298,M,31,HighSchool,Education,IT
299,299,F,47,Bachelor,Science,Science
300,300,F,31,PhD,Science,Science
301,301,F,24,Bachelor,IT,IT
302,302,F,35,Bachelor,Science,Science
303,303,F,41,PhD,Science,IT
304,304,F,41,Master,IT,IT
305,305,M,21,PhD,Science,IT
306,306,F,34,HighSchool,Media,Media
307,307,F,23,Bachelor,Science,Science
308,308,F,80,PhD,Science,Science
309,309,F,33,Bachelor,Science,Science
310,310,M,27,PhD,IT,IT
311,311,M,20,HighSchool,IT,IT
312,312,nonbinary,22,PhD,IT,IT
313,313,F,36,Master,Science,Science
314,314,F,36,Master,Engineering,Engineering
315,315,F,58,HighSchool,IT,IT
316,316,F,34,PhD,Education,Education
317,317,F,44,Bachelor,Science,IT
318,318,F,37,Master,Hospitality,Hospitality
319,319,F,24,PhD,Business,Business
320,320,F,30,Master,IT,IT
321,321,F,30,PhD,Hospitality,Hospitality
322,322,F,25,Master,Engineering,IT
323,323,NS,42,HighSchool,Business,IT
324,324,F,41,Bachelor,Science,Science
325,325,M,28,Master,IT,IT
326,326,F,20,Master,IT,IT
327,327,F,39,Master,IT,IT
328,328,nonbinary,33,HighSchool,Management,Management
329,329,F,41,Master,Business,Business
330,330,NS,47,HighSchool,IT,IT
331,331,F,20,Master,Administration,Administration
332,332,F,49,Master,IT,IT
333,333,F,40,Bachelor,Engineering,Engineering
334,334,nonbinary,24,HighSchool,Science,IT
335,335,M,34,PhD,Engineering,IT
336,336,M,35,Master,Education,IT
337,337,F,20,Master,Science,Science
338,338,F,31,Bachelor,Engineering,Engineering
339,339,F,40,PhD,Education,Education
340,340,M,57,Master,Administration,Administration
341,341,F,21,Bachelor,IT,IT
342,342,F,39,HighSchool,Education,Education
343,343,NS,39,Master,Administration,Administration
344,344,M,36,Bachelor,Engineering,IT
345,345,nonbinary,21,Master,IT,IT
346,346,NS,31,PhD,Hospitality,Hospitality
347,347,F,38,PhD,Media,Media
348,348,F,21,Master,Media,Media
349,349,F,20,HighSchool,Law,Law
350,350,F,53,PhD,Education,Education
351,351,M,51,Master,Education,IT
352,352,M,45,Master,Science,Science
353,353,F,38,Bachelor,Education,Education
354,354,F,59,PhD,Science,IT
355,355,NS,38,Master,Engineering,Engineering
356,356,F,54,HighSchool,Education,Education
357,357,F,57,PhD,Law,Law
358,358,NS,32,Master,IT,IT
359,359,F,28,Bachelor,Education,Education
360,360,F,37,Master,Law,Law
361,361,F,61,HighSchool,IT,IT
362,362,F,50,Master,Education,IT
363,363,F,29,PhD,Hospitality,Hospitality
364,364,F,41,Bachelor,Science,Science
365,365,nonbinary,40,Master,Business,Business
366,366,F,55,Master,IT,IT
367,367,M,30,PhD,Engineering,Engineering
368,368,M,36,HighSchool,Administration,IT
369,369,M,24,Bachelor,Media,IT
370,370,F,29,Master,Engineering,Engineering
371,371,F,30,Master,Engineering,IT
372,372,F,40,Bachelor,Science,Science
373,373,F,36,Bachelor,Media,Media
374,374,M,58,Master,Science,Science
375,375,M,30,Master,Science,IT
376,376,M,30,Bachelor,Media,Media
377,377,F,38,Bachelor,Media,Media
378,378,nonbinary,44,PhD,Media,Media
379,379,F,21,Master,Business,Business
380,380,M,30,Bachelor,IT,IT
381,381,F,35,Master,Business,Business
382,382,F,37,Master,Engineering,IT
383,383,F,25,PhD,IT,IT
384,384,F,47,Master,Business,Business
385,385,F,30,PhD,IT,IT
386,386,F,28,Bachelor,Engineering,IT
387,387,F,33,Master,Media,Media
388,388,F,39,Master,Science,Science
389,389,F,32,PhD,Engineering,IT
390,390,F,48,Master,Construction,Construction
391,391,F,34,HighSchool,Science,IT
392,392,F,24,Bachelor,Engineering,IT
393,393,F,39,Master,IT,IT
394,394,F,33,HighSchool,Science,Science
395,395,F,40,Master,IT,IT
396,396,F,31,Master,IT,IT
397,397,F,32,HighSchool,Science,IT
398,398,F,42,Bachelor,IT,IT
399,399,M,40,PhD,IT,IT
400,400,nonbinary,40,Bachelor,Science,Science
401,401,F,40,Master,IT,IT
402,402,nonbinary,57,Bachelor,IT,IT
403,403,M,65,Master,IT,IT
404,404,F,22,HighSchool,IT,IT
405,405,M,28,PhD,Science,Science
406,406,M,68,Bachelor,IT,IT
407,407,F,44,PhD,Hospitality,Hospitality
408,408,F,32,HighSchool,IT,IT
409,409,M,31,Bachelor,Engineering,IT
410,410,F,84,PhD,Construction,Construction
411,411,F,40,HighSchool,IT,IT
412,412,F,43,Bachelor,Science,Science
413,413,M,40,Bachelor,Science,Science
414,414,nonbinary,22,HighSchool,IT,IT
415,415,F,50,Master,Management,Management
416,416,F,28,Master,IT,IT
417,417,F,35,Bachelor,IT,IT
418,418,F,35,Bachelor,Engineering,Engineering
419,419,F,47,PhD,Hospitality,Hospitality
420,420,F,36,Master,IT,IT
421,421,NS,40,PhD,Engineering,IT
422,422,F,50,Master,IT,IT
423,423,F,33,HighSchool,IT,IT
424,424,NS,23,Bachelor,Science,Science
425,425,M,29,Master,Business,Business
426,426,M,38,Bachelor,IT,IT
427,427,M,28,PhD,Business,Business
428,428,F,66,Bachelor,Engineering,Engineering
429,429,F,49,Bachelor,Hospitality,Hospitality
430,430,M,43,Bachelor,Science,IT
431,431,M,23,PhD,Education,Education
432,432,M,40,Master,Engineering,Engineering
433,433,F,36,PhD,Science,Science
434,434,F,52,PhD,IT,IT
435,435,M,28,Bachelor,Education,IT
436,436,F,39,PhD,Business,Business
437,437,F,40,PhD,Education,IT
438,438,M,32,Bachelor,Administration,Administration
439,439,M,69,Master,Science,IT
440,440,F,34,Bachelor,Administration,IT
441,441,M,53,Master,Education,Education
442,442,F,31,Bachelor,Media,Media
443,443,F,30,Bachelor,Education,Education
444,444,F,35,Bachelor,Business,Business
445,445,M,39,Bachelor,Business,Business
446,446,F,36,Bachelor,Business,Business
447,447,F,24,Bachelor,Business,Business
448,448,F,39,Master,IT,IT
449,449,M,37,Bachelor,Education,IT
450,450,M,50,Master,Business,Business
451,451,M,25,Master,Science,Science
452,452,F,62,Master,IT,IT
453,453,F,36,Master,Science,IT
454,454,F,38,PhD,IT,IT
455,455,F,33,Master,IT,IT
456,456,F,22,Bachelor,Media,Media
457,457,F,35,Master,IT,IT
458,458,M,33,PhD,Business,Business
459,459,M,33,Master,Engineering,IT
460,460,F,33,Master,Engineering,Engineering
461,461,M,33,Bachelor,Business,Business
462,462,F,36,Bachelor,IT,IT
463,463,F,45,Master,Health,Health
464,464,M,30,Bachelor,Education,IT
465,465,F,35,Bachelor,IT,IT
466,466,M,47,Master,Law,Law
467,467,F,52,PhD,Science,Science
468,468,M,74,Master,Education,Education
469,469,M,46,Bachelor,IT,IT
470,470,F,38,Bachelor,Education,IT
471,471,M,29,PhD,Education,Education
472,472,F,31,HighSchool,IT,IT
473,473,F,42,Bachelor,Law,Law
474,474,M,40,Master,Business,Business
475,475,F,38,Bachelor,Science,Science
476,476,F,38,Master,Engineering,Engineering
477,477,F,42,PhD,IT,IT
478,478,F,33,PhD,Law,Law
479,479,M,33,PhD,Engineering,Engineering
480,480,F,23,Bachelor,Engineering,IT
481,481,F,87,Master,Education,IT
482,482,F,54,Bachelor,Media,Media
483,483,F,76,PhD,IT,IT
484,484,F,42,Master,Administration,Administration
485,485,nonbinary,28,Bachelor,Business,Business
486,486,F,45,PhD,Science,Science
487,487,NS,40,Bachelor,Education,Education
488,488,M,40,PhD,Engineering,IT
489,489,F,46,Master,Engineering,Engineering
490,490,F,24,Master,Education,Education
491,491,M,35,Bachelor,Engineering,IT
492,492,F,60,Master,Health,IT
493,493,F,30,Master,Science,Science
494,494,F,35,PhD,IT,IT
495,495,F,31,PhD,IT,IT
496,496,F,35,PhD,Hospitality,Hospitality
497,497,F,34,HighSchool,Business,Business
498,498,F,37,PhD,IT,IT
499,499,F,43,Master,Education,Education
500,500,M,50,Bachelor,Business,Business
501,501,F,26,HighSchool,IT,IT
502,502,nonbinary,36,PhD,IT,IT
503,503,F,43,Bachelor,IT,IT
504,504,F,55,PhD,Health,Health
505,505,F,29,PhD,Engineering,Engineering
506,506,M,45,Master,Law,Law
507,507,F,50,Bachelor,Business,Business
508,508,M,55,Master,Engineering,Engineering
509,509,F,38,Master,Engineering,IT
510,510,F,49,PhD,Education,Education
511,511,F,22,Master,Business,Business
512,512,F,36,Master,Science,Science
513,513,M,36,Master,Health,Health
514,514,M,38,PhD,Science,Science
515,515,F,30,HighSchool,Hospitality,Hospitality
516,516,F,51,Bachelor,Science,Science
517,517,F,36,HighSchool,Education,Education
518,518,F,26,PhD,Education,Education
519,519,F,39,Bachelor,Science,IT
520,520,M,38,Bachelor,IT,IT
521,521,M,21,Bachelor,Management,Management
522,522,M,31,Master,Business,Business
523,523,NS,35,Master,Science,Science
524,524,F,37,PhD,IT,IT
525,525,F,41,Bachelor,Engineering,IT
526,526,nonbinary,37,Master,IT,IT
527,527,F,25,Master,Media,Media
528,528,F,31,Master,Hospitality,Hospitality
529,529,F,35,Bachelor,Media,Media
530,530,F,32,PhD,Education,Education
531,531,F,42,Master,Farming,Farming
532,532,F,39,PhD,Education,Education
533,533,NS,39,PhD,IT,IT
534,534,F,48,Bachelor,Science,Science
535,535,F,35,Bachelor,Science,Science
536,536,M,44,HighSchool,IT,IT
537,537,F,55,PhD,Administration,Administration
538,538,F,34,Master,Hospitality,Hospitality
539,539,F,22,Bachelor,Science,IT
540,540,F,33,Bachelor,IT,IT
541,541,M,33,Bachelor,Hospitality,Hospitality
542,542,F,39,Master,Engineering,IT
543,543,F,39,Bachelor,Health,Health
544,544,nonbinary,47,Master,Science,IT
545,545,F,45,Master,Science,Science
546,546,F,28,PhD,Education,IT
547,547,F,34,Bachelor,Hospitality,IT
548,548,F,47,Bachelor,Science,Science
549,549,M,57,Bachelor,IT,IT
550,550,F,36,Bachelor,Science,Science
551,551,nonbinary,27,Bachelor,IT,IT
552,552,nonbinary,36,PhD,IT,IT
553,553,F,34,Master,Education,Education
554,554,F,40,Bachelor,IT,IT
555,555,F,36,PhD,Education,Education
556,556,F,36,HighSchool,IT,IT
557,557,nonbinary,24,Bachelor,Science,Science
558,558,F,51,Master,Business,Business
559,559,F,53,Master,Health,Health
560,560,F,29,PhD,IT,IT
561,561,nonbinary,41,Bachelor,Science,Science
562,562,F,28,Master,Engineering,Engineering
563,563,M,23,Bachelor,IT,IT
564,564,M,30,Master,Science,Science
565,565,F,30,PhD,Education,Education
566,566,NS,58,Master,Media,Media
567,567,F,57,Master,IT,IT
568,568,F,40,Master,Education,Education
569,569,M,57,Master,Business,Business
570,570,F,30,PhD,Science,Science
571,571,F,37,Master,Education,Education
572,572,F,29,PhD,IT,IT
573,573,M,54,Master,IT,IT
574,574,F,90,Bachelor,IT,IT
575,575,F,39,Bachelor,Hospitality,Hospitality
576,576,F,42,PhD,IT,IT
577,577,M,38,Master,Education,Education
578,578,F,40,PhD,Engineering,Engineering
579,579,F,32,Bachelor,Science,Science
580,580,F,60,PhD,Education,IT
581,581,F,36,Bachelor,Media,Media
582,582,M,32,Bachelor,IT,IT
583,583,F,21,Bachelor,Science,IT
584,584,F,58,HighSchool,Science,Science
585,585,M,53,Bachelor,IT,IT
586,586,F,37,PhD,Science,Science
587,587,M,35,Bachelor,Media,Media
588,588,F,31,Bachelor,Engineering,Engineering
589,589,F,26,PhD,IT,IT
590,590,F,45,Master,Education,Education
591,591,nonbinary,33,HighSchool,Education,Education
592,592,F,35,Bachelor,Education,Education
593,593,F,33,Master,Media,Media
594,594,F,21,PhD,Business,Business
595,595,F,51,Master,Education,Education
596,596,F,33,Master,Media,Media
597,597,M,55,PhD,Business,Business
598,598,M,30,Master,Science,IT
599,599,F,33,Bachelor,IT,IT
600,600,F,22,Master,Education,Education
601,601,M,53,Master,IT,IT
602,602,F,44,PhD,Science,Science
603,603,M,36,Master,Science,Science
604,604,F,46,Bachelor,Education,Education
605,605,F,38,Bachelor,IT,IT
606,606,F,35,PhD,Media,Media
607,607,F,48,Bachelor,Hospitality,Hospitality
608,608,NS,52,PhD,Science,Science
609,609,F,30,Master,IT,IT
610,610,F,42,PhD,Education,Education
611,611,F,43,Bachelor,IT,IT
612,612,F,40,Bachelor,IT,IT
613,613,F,30,PhD,Hospitality,IT
614,614,F,30,Bachelor,IT,IT
615,615,F,33,Master,Science,IT
616,616,F,36,Master,Education,Education
617,617,nonbinary,68,Master,IT,IT
618,618,NS,31,Bachelor,IT,IT
619,619,F,32,Bachelor,IT,IT
620,620,F,80,HighSchool,IT,IT
621,621,M,20,HighSchool,Science,IT
622,622,M,33,Master,Science,Science
623,623,nonbinary,49,Bachelor,Science,Science
624,624,F,36,Master,Business,Business
625,625,M,21,HighSchool,IT,IT
626,626,F,47,PhD,IT,IT
627,627,F,32,Master,IT,IT
628,628,F,41,Master,Science,Science
629,629,M,50,Master,Business,Business
630,630,F,33,Master,IT,IT
631,631,NS,30,PhD,Science,Science
632,632,NS,30,PhD,Media,IT
633,633,M,43,Bachelor,Science,Science
634,634,F,35,HighSchool,Science,Science
635,635,F,50,Bachelor,Science,Science
636,636,F,35,Master,IT,IT
637,637,F,38,Master,Science,Science
638,638,M,31,Bachelor,Education,Education
639,639,F,44,Bachelor,Science,Science
640,640,M,50,Bachelor,Business,Business
641,641,F,52,PhD,Education,IT
642,642,NS,31,Bachelor,Education,IT
643,643,F,33,HighSchool,Education,IT
644,644,F,50,Master,Education,IT
645,645,M,39,Master,Engineering,IT
646,646,M,60,Master,Science,Science
647,647,M,30,Bachelor,Science,Science
648,648,F,42,PhD,IT,IT
649,649,F,47,Master,Business,Business
650,650,nonbinary,28,Bachelor,Science,Science
651,651,F,35,Bachelor,IT,IT
652,652,F,47,Master,Hospitality,Hospitality
653,653,F,25,Bachelor,Science,Science
654,654,M,22,PhD,Science,Science
655,655,F,40,Master,Science,Science
656,656,F,32,PhD,Engineering,Engineering
657,657,F,36,PhD,Science,Science
658,658,NS,60,Master,Education,Education
659,659,F,42,Bachelor,IT,IT
660,660,F,56,Master,Science,Science
661,661,M,48,PhD,Science,Science
662,662,M,46,HighSchool,Science,Science
663,663,F,36,PhD,IT,IT
664,664,F,33,PhD,IT,IT
665,665,F,22,Master,Business,Business
666,666,F,33,HighSchool,Media,Media
667,667,M,52,Master,IT,IT
668,668,M,41,HighSchool,IT,IT
669,669,F,39,Bachelor,Science,IT
670,670,F,40,PhD,Science,Science
671,671,M,40,Bachelor,Science,Science
672,672,F,38,Master,IT,IT
673,673,F,48,Master,IT,IT
674,674,nonbinary,25,Master,Science,Science
675,675,F,38,Bachelor,IT,IT
676,676,F,34,Master,Science,Science
677,677,F,59,PhD,Media,Media
678,678,F,30,Master,IT,IT
679,679,F,25,PhD,Education,Education
680,680,NS,30,Bachelor,IT,IT
681,681,F,21,PhD,Business,Business
682,682,F,30,PhD,IT,IT
683,683,F,53,Master,IT,IT
684,684,M,37,HighSchool,Engineering,IT
685,685,F,27,Master,Business,Business
686,686,F,41,PhD,IT,IT
687,687,M,34,Master,Administration,Administration
688,688,F,51,Master,Education,Education
689,689,F,34,HighSchool,IT,IT
690,690,F,47,Bachelor,Business,Business
691,691,F,24,PhD,IT,IT
692,692,F,35,PhD,IT,IT
693,693,nonbinary,81,Bachelor,Management,Management
694,694,M,36,HighSchool,Business,Business
695,695,F,33,Master,IT,IT
696,696,F,38,Master,IT,IT
697,697,M,86,Master,Business,Business
698,698,F,39,Bachelor,Business,Business
699,699,NS,44,PhD,Science,Science
700,700,F,26,Master,Engineering,IT
701,701,NS,46,Bachelor,IT,IT
702,702,NS,33,PhD,IT,IT
703,703,nonbinary,30,PhD,Science,Science
704,704,F,26,Master,Media,Media
705,705,F,46,Bachelor,Science,Science
706,706,F,55,HighSchool,Business,Business
707,707,F,32,Master,Engineering,IT
708,708,M,27,Master,Science,Science
709,709,M,56,PhD,IT,IT
710,710,F,40,Bachelor,Media,Media
711,711,F,25,Bachelor,Science,Science
712,712,F,46,Master,Science,IT
713,713,NS,43,PhD,IT,IT
714,714,F,39,Bachelor,IT,IT
715,715,F,20,Bachelor,IT,IT
716,716,M,20,PhD,IT,IT
717,717,F,45,Master,Engineering,Engineering
718,718,F,74,Master,Hospitality,IT
719,719,nonbinary,34,Master,IT,IT
720,720,F,39,Master,IT,IT
721,721,M,28,Bachelor,Law,Law
722,722,F,36,HighSchool,Hospitality,IT
